time elapsed,date,time,magnitude,x,y,z,field control set point,input state
11.0,05/22/2025,14:54:59.718000,5.76744977e-05,-2.65305367e-05,-2.54195447e-05,-4.44558776e-05,9.91e+37,0
11.1,05/22/2025,14:54:59.818000,5.7249486e-05,-2.65867838e-05,-2.42276316e-05,-4.4538393e-05,9.91e+37,0
11.2,05/22/2025,14:54:59.918000,5.7346166e-05,-2.73337114e-05,-2.30947265e-05,-4.48116567e-05,9.91e+37,0
11.3,05/22/2025,14:55:00.018000,5.67533148e-05,-2.73126002e-05,-2.18409808e-05,-4.46982346e-05,9.91e+37,0
11.4,05/22/2025,14:55:00.118000,5.62254877e-05,-2.74852167e-05,-2.06138931e-05,-4.45077042e-05,9.91e+37,0
11.5,05/22/2025,14:55:00.218000,5.61031404e-05,-2.78514832e-05,-1.91933065e-05,-4.47601857e-05,9.91e+37,0
11.6,05/22/2025,14:55:00.318000,5.55726163e-05,-2.77915796e-05,-1.80141416e-05,-4.46254915e-05,9.91e+37,0
11.7,05/22/2025,14:55:00.418000,5.49567273e-05,-2.75682529e-05,-1.6696718e-05,-4.45135138e-05,9.91e+37,0
11.8,05/22/2025,14:55:00.518000,5.47578699e-05,-2.779085e-05,-1.53618056e-05,-4.46106255e-05,9.91e+37,0
11.9,05/22/2025,14:55:00.618000,5.41006939e-05,-2.74763845e-05,-1.41410058e-05,-4.44068163e-05,9.91e+37,0
12.0,05/22/2025,14:55:00.718000,5.51057422e-05,-2.78961133e-05,-1.35349949e-05,-4.55549514e-05,9.91e+37,0
12.1,05/22/2025,14:55:00.818000,5.54379748e-05,-2.69586892e-05,-1.42089933e-05,-4.63109343e-05,9.91e+37,0
12.2,05/22/2025,14:55:00.918000,5.63579562e-05,-2.77593427e-05,-1.56365498e-05,-4.64880245e-05,9.91e+37,0
12.3,05/22/2025,14:55:01.018000,5.6909198e-05,-2.78400453e-05,-1.69107793e-05,-4.66649145e-05,9.91e+37,0
12.4,05/22/2025,14:55:01.118000,5.73428921e-05,-2.78991335e-05,-1.8322279e-05,-4.66276711e-05,9.91e+37,0
12.5,05/22/2025,14:55:01.218000,5.80087956e-05,-2.78811117e-05,-1.96365024e-05,-4.69262374e-05,9.91e+37,0
12.6,05/22/2025,14:55:01.318000,5.80887899e-05,-2.76628354e-05,-2.0829464e-05,-4.66391303e-05,9.91e+37,0
